43	48	
48	43	
18	79	
79	18	
46	109	
109	46	
61	85	
85	61	
0	67	
67	0	
42	106	
106	42	
2	48	
48	2	
3	24	
24	3	
76	108	
108	76	
36	83	
83	36	
10	91	
91	10	
17	21	
21	17	
9	34	
34	9	
10	79	
79	10	
95	104	
104	95	
21	24	
24	21	
17	85	
85	17	
9	23	
23	9	
21	50	
50	21	
27	107	
107	27	
16	29	
29	16	
8	54	
54	8	
68	82	
82	68	
63	69	
69	63	
3	61	
61	3	
89	103	
103	89	
21	89	
89	21	
69	96	
96	69	
5	83	
83	5	
3	97	
97	3	
42	83	
83	42	
63	67	
67	63	
89	108	
108	89	
60	74	
74	60	
1	103	
103	1	
72	104	
104	72	
11	57	
57	11	
81	104	
104	81	
18	78	
78	18	
35	72	
72	35	
49	97	
97	49	
18	39	
39	18	
52	81	
81	52	
0	14	
14	0	
38	51	
51	38	
46	57	
57	46	
42	90	
90	42	
6	69	
69	6	
29	96	
96	29	
43	50	
50	43	
26	71	
71	26	
16	91	
91	16	
3	99	
99	3	
9	23	
23	9	
49	104	
104	49	
56	75	
75	56	
22	75	
75	22	
4	19	
19	4	
47	90	
90	47	
49	100	
100	49	
15	62	
62	15	
70	75	
75	70	
77	81	
81	77	
53	102	
102	53	
53	54	
54	53	
20	39	
39	20	
15	79	
79	15	
57	65	
65	57	
72	98	
98	72	
63	89	
89	63	
56	63	
63	56	
2	30	
30	2	
63	109	
109	63	
72	80	
80	72	
24	111	
111	24	
15	85	
85	15	
66	82	
82	66	
12	81	
81	12	
71	91	
91	71	
44	108	
108	44	
17	94	
94	17	
72	80	
80	72	
9	89	
89	9	
25	26	
26	25	
26	36	
36	26	
2	60	
60	2	
37	45	
45	37	
75	77	
77	75	
11	24	
24	11	
37	63	
63	37	
51	79	
79	51	
31	94	
94	31	
0	10	
10	0	
35	42	
42	35	
0	83	
83	0	
90	94	
94	90	
69	86	
86	69	
54	108	
108	54	
22	59	
59	22	
1	38	
38	1	
24	63	
63	24	
30	50	
50	30	
73	97	
97	73	
2	112	
112	2	
9	43	
43	9	
10	88	
88	10	
23	67	
67	23	
19	98	
98	19	
25	66	
66	25	
6	38	
38	6	
31	85	
85	31	
4	98	
98	4	
23	104	
104	23	
85	104	
104	85	
78	96	
96	78	
46	74	
74	46	
89	101	
101	89	
49	104	
104	49	
13	68	
68	13	
2	46	
46	2	
59	73	
73	59	
14	69	
69	14	
55	57	
57	55	
68	88	
88	68	
33	95	
95	33	
49	66	
66	49	
96	97	
97	96	
2	86	
86	2	
78	105	
105	78	
19	62	
62	19	
63	80	
80	63	
55	104	
104	55	
20	26	
26	20	
68	105	
105	68	
17	29	
29	17	
82	89	
89	82	
14	43	
43	14	
13	47	
47	13	
70	101	
101	70	
24	75	
75	24	
14	89	
89	14	
29	106	
106	29	
48	52	
52	48	
23	92	
92	23	
12	81	
81	12	
18	85	
85	18	
49	72	
72	49	
36	111	
111	36	
87	102	
102	87	
12	53	
53	12	
49	51	
51	49	
9	87	
87	9	
56	66	
66	56	
78	79	
79	78	
55	110	
110	55	
42	104	
104	42	
20	75	
75	20	
45	72	
72	45	
97	99	
99	97	
25	111	
111	25	
4	59	
59	4	
30	88	
88	30	
43	73	
73	43	
39	49	
49	39	
4	107	
107	4	
16	22	
22	16	
59	109	
109	59	
68	79	
79	68	
37	110	
110	37	
101	110	
110	101	
45	76	
76	45	
52	90	
90	52	
49	69	
69	49	
3	53	
53	3	
54	57	
57	54	
4	12	
12	4	
35	76	
76	35	
6	40	
40	6	
9	93	
93	9	
13	87	
87	13	
13	72	
72	13	
5	44	
44	5	
25	104	
104	25	
11	28	
28	11	
55	74	
74	55	
5	106	
106	5	
6	98	
98	6	
95	100	
100	95	
43	49	
49	43	
7	34	
34	7	
14	96	
96	14	
5	59	
59	5	
19	68	
68	19	
22	53	
53	22	
52	93	
93	52	
59	61	
61	59	
28	106	
106	28	
3	100	
100	3	
21	59	
59	21	
4	13	
13	4	
89	101	
101	89	
34	101	
101	34	
79	106	
106	79	
9	12	
12	9	
32	104	
104	32	
38	70	
70	38	
69	101	
101	69	
22	86	
86	22	
10	72	
72	10	
27	108	
108	27	
53	112	
112	53	
4	34	
34	4	
3	104	
104	3	
10	86	
86	10	
44	61	
61	44	
27	36	
36	27	
56	63	
63	56	
79	93	
93	79	
103	111	
111	103	
18	78	
78	18	
57	88	
88	57	
4	94	
94	4	
